epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,781.799,0.78954,0.68461,1.08651,0.82381,0.81323,0.86332,0.65918,0.86975,0.73443,1.29905,0.0007328,0.0007328,0.0007328
66,794.165,0.80617,0.70287,1.09435,0.82266,0.77626,0.84245,0.63532,0.89878,0.85568,1.30461,0.000713,0.000713,0.000713
67,806.286,0.78424,0.69362,1.09618,0.88783,0.76995,0.86073,0.66285,0.82917,0.7139,1.26543,0.0006932,0.0006932,0.0006932
68,818.66,0.78536,0.71958,1.1121,0.86095,0.73735,0.83723,0.6378,0.88084,0.81454,1.30802,0.0006734,0.0006734,0.0006734
69,830.71,0.79515,0.71562,1.12431,0.85724,0.74766,0.83775,0.64235,0.85224,0.80801,1.28437,0.0006536,0.0006536,0.0006536
70,842.75,0.74454,0.63241,1.07186,0.82691,0.80861,0.8602,0.6623,0.8629,0.74651,1.30147,0.0006338,0.0006338,0.0006338
71,854.774,0.75176,0.65226,1.07396,0.84779,0.78794,0.86539,0.66592,0.85295,0.71702,1.29435,0.000614,0.000614,0.000614
72,866.973,0.73361,0.64635,1.08393,0.8877,0.77821,0.87403,0.66813,0.84259,0.69944,1.31546,0.0005942,0.0005942,0.0005942
73,879.259,0.70792,0.6209,1.05709,0.86689,0.79823,0.86723,0.66761,0.86129,0.72051,1.30764,0.0005744,0.0005744,0.0005744
74,891.502,0.78359,0.6708,1.12043,0.85537,0.80542,0.86964,0.65918,0.88427,0.71091,1.33231,0.0005546,0.0005546,0.0005546
75,903.606,0.72801,0.64904,1.08102,0.83466,0.82685,0.86959,0.6715,0.86221,0.6922,1.30571,0.0005348,0.0005348,0.0005348
76,916.07,0.75144,0.64413,1.07813,0.89758,0.74708,0.86813,0.67143,0.84335,0.67725,1.27262,0.000515,0.000515,0.000515
77,928.092,0.73477,0.62189,1.08539,0.83092,0.83184,0.86878,0.67476,0.81429,0.68815,1.2548,0.0004952,0.0004952,0.0004952
78,940.363,0.76398,0.62833,1.08356,0.85369,0.80156,0.86651,0.65824,0.81451,0.74711,1.26427,0.0004754,0.0004754,0.0004754
79,952.499,0.76924,0.64063,1.08535,0.87594,0.79767,0.86015,0.65571,0.86606,0.70721,1.30986,0.0004556,0.0004556,0.0004556
80,964.602,0.73974,0.61736,1.07944,0.84859,0.81518,0.86851,0.6653,0.81473,0.70962,1.27501,0.0004358,0.0004358,0.0004358
81,976.672,0.74412,0.63694,1.0803,0.88967,0.78016,0.87052,0.66975,0.80815,0.69534,1.26299,0.000416,0.000416,0.000416
82,988.891,0.70965,0.61394,1.06811,0.85177,0.82728,0.87732,0.67943,0.77525,0.6528,1.23282,0.0003962,0.0003962,0.0003962
83,1001.35,0.69758,0.57215,1.05886,0.86863,0.81712,0.8757,0.68423,0.78814,0.65331,1.24007,0.0003764,0.0003764,0.0003764
84,1013.73,0.72917,0.61411,1.0739,0.87839,0.81712,0.8774,0.68318,0.80692,0.64659,1.26421,0.0003566,0.0003566,0.0003566
85,1025.67,0.70078,0.58624,1.04706,0.88276,0.79767,0.88582,0.6841,0.80906,0.64952,1.28718,0.0003368,0.0003368,0.0003368
86,1037.78,0.72603,0.59842,1.06264,0.87592,0.8035,0.87975,0.68144,0.80249,0.65022,1.25295,0.000317,0.000317,0.000317
87,1049.95,0.7029,0.5963,1.05616,0.8764,0.80007,0.87584,0.68196,0.7867,0.65692,1.23078,0.0002972,0.0002972,0.0002972
88,1062.03,0.69499,0.58617,1.06367,0.89369,0.8035,0.88643,0.689,0.77026,0.61624,1.22634,0.0002774,0.0002774,0.0002774
89,1074.48,0.66552,0.57165,1.03842,0.90761,0.78357,0.88415,0.69505,0.7656,0.61754,1.23028,0.0002576,0.0002576,0.0002576
90,1086.84,0.68046,0.55676,1.05785,0.83222,0.83463,0.87955,0.69098,0.79373,0.62277,1.24541,0.0002378,0.0002378,0.0002378
91,1112.18,0.68956,0.60658,1.05335,0.87111,0.79961,0.87052,0.67701,0.8071,0.63526,1.24628,0.000218,0.000218,0.000218
92,1124.28,0.65905,0.55482,1.06937,0.86511,0.81103,0.86534,0.67411,0.81572,0.63486,1.25337,0.0001982,0.0001982,0.0001982
93,1136.26,0.65468,0.56303,1.02228,0.85248,0.81518,0.87189,0.68462,0.78884,0.61969,1.25196,0.0001784,0.0001784,0.0001784
94,1148.25,0.65671,0.56423,1.0434,0.84799,0.83074,0.87536,0.68677,0.78847,0.62904,1.26682,0.0001586,0.0001586,0.0001586
95,1160.2,0.60764,0.51858,1.0189,0.86439,0.81712,0.87585,0.68694,0.77986,0.61172,1.24234,0.0001388,0.0001388,0.0001388
96,1172.23,0.63737,0.52607,1.02607,0.90499,0.79572,0.87602,0.69407,0.76287,0.61421,1.23358,0.000119,0.000119,0.000119
97,1184.19,0.60967,0.54352,1.00499,0.90757,0.78988,0.87413,0.69634,0.76116,0.60574,1.24794,9.92e-05,9.92e-05,9.92e-05
98,1196.5,0.6115,0.5198,0.9981,0.88591,0.8007,0.87412,0.69334,0.75879,0.59351,1.24425,7.94e-05,7.94e-05,7.94e-05
99,1208.49,0.58525,0.51495,0.99047,0.88506,0.80934,0.87483,0.69442,0.75073,0.59234,1.23764,5.96e-05,5.96e-05,5.96e-05
100,1220.47,0.62279,0.51323,1.01767,0.87132,0.81677,0.87409,0.69522,0.74602,0.59192,1.2331,3.98e-05,3.98e-05,3.98e-05
